id,name,type,link,input_info,input_fmt,td_type,tdma,is-integrated,can-integrated,maturity,studies_maturity,run_stand_alone,license_type,output_info,output_fmt,programming_language,studies_citing_artifact,other_comments,trigger,trigger-description,interface-type,interface-subtype,is-integrated-using-interface-subtype,is-integrated-with,is-integrated-description,is-integrted-outcome
A23,codemr,plugin,https://www.codemr.co.uk/,source code,source code,"Design TD,Code TD","Representation/Documentation,Identification",No,No,Academic Studies,"S139,S150",No,Commercial,"code metrics,code smells",html,"Java,C/C++,Skala,Kotlin",S139,runs with intellij and eclipse,Human Trigger,executes the tool,gui,gui (plugin for ide),-,-,-,
A24,codemri,tool,https://codemri.com/,source code,source code,Design TD,Measurement,No,No,Academic Studies,S150,Yes,Commercial,amount of technical debt,html,Not Specified,S150,,Human Trigger,executes the tool,gui,gui,-,-,-,
A25,codesonar,tool,https://www.grammatech.com/codesonar-cc,source code,source code,Code TD,Identification,Yes,Yes,Industrial Applications,S62,Yes,Commercial,code violations,text,"Java,C/C++",S62,can be integrated with ide and repositories,Automated Trigger,executes the tool,api,"api (plugin for github)
api (integrates with ci)","api (plugin for github)
api (integrates with ci)","repository
development tool","integrated with github
integrated with jenkins",
A26,codesonar,plugin,https://www.grammatech.com/codesonar-cc,source code,source code,Code TD,Identification,No,No,Industrial Applications,S62,Yes,Commercial,code violations,text,"Java,C/C++",S62,can be integrated with ide and repositories,Human Trigger,executes the tool,gui,gui (plugin for ide),gui (plugin for ide),development tool,integrated with ide,
A27,codevizard,tool,http://www.cs.umd.edu/~basili/hpcs/index.php_id=21,source code,source code,"Design TD,Test TD,Documentation TD,Defect TD",Identification,No,No,Academic Studies,S79,Yes,Free,td items,csv,Java,"S15,S79,S191",,Human Trigger,executes the tool,gui,gui,-,-,-,
A28,concernrecs,plugin,https://sourceforge.net/p/concernrecs/home/Home/,source code,source code,Design TD,Identification,No,No,Examples,,No,Open Source,code smells,text,Java,S184,,Human Trigger,executes the tool,gui,gui (plugin for ide),gui (plugin for ide),development tool,it is integrated as plugin in eclipse,
A29,coverity,tool,https://scan.coverity.com/,source code,source code,Code TD,"Measurement,Identification",No,No,Examples,,Yes,free (for open source),"code violations,code metrics",html,"Java,Python,Javascript,C/C++,C#,Ruby","S29,S82,S106",,Human Trigger,runs with github,gui,gui,-,-,-,
A30,cppcheck,plugin,https://cppcheck.sourceforge.io/,source code,source code,Code TD,Identification,No,No,Examples,S29,Yes,Open Source,code violations,text,C/C++,S29,plugins for several platforms,Human Trigger,executes the tool,gui,gui (plugin for ide),-,-,-,
A31,cppcheck,tool,https://cppcheck.sourceforge.io/,source code,source code,Code TD,Identification,No,No,Examples,S29,Yes,Open Source,code violations,text,C/C++,S29,,Human Trigger,executes the tool,gui,gui,-,-,-,
A32,cppdepend,tool,https://www.cppdepend.com/,source code,source code,"Architectural TD,Design TD,Code TD",Identification,No,No,Industrial Studies,S119,Yes,Commercial,"architectural smells,code violations,code smells",xml,C/C++,"S17,S119",,Human Trigger,executes the tool,gui,gui,-,-,-,
A33,cppdepend,plugin,https://www.cppdepend.com/,source code,source code,"Architectural TD,Design TD,Code TD",Identification,No,No,Industrial Studies,S119,Yes,Commercial,"architectural smells,code violations,code smells",xml,C/C++,"S17,S119",can be integrated with sonarqube,Human Trigger,executes the tool,gui,gui (plugin for another automation artifact),gui (plugin for another automation artifact),artifact,plugin for sonarqube,
A34,davidetaibi/sonarqube-anti-patterns-code-smells,plugin,https://github.com/davidetaibi/sonarqube-anti-patterns-code-smells,source code,source code,"Architectural TD,Design TD",Identification,No,No,Examples,,No,Open Source,"code smells,architectural smells",sonarqube-issues,Java,S86,plugin for sonarqube,Human Trigger,executes the tool,gui,gui (plugin for another automation artifact),gui (plugin for another automation artifact),artifact,it is installed in sonarqube,
A35,dbdeo,script,https://github.com/tushartushar/DbDeo,sql statements,sql from github repositories,Design TD,Identification,No,Yes,Examples,,No,Open Source,database smells,csv,sql,S59,,Both,executes the tool,cli,cli (standard input),-,-,-,
A36,debtfree,script,https://github.com/HuyTu7/DebtFree,code comments,csv,satd,Identification,No,Yes,Examples,,No,Open Source,self-admitted td items,csv,Not Specified,S167,,Both,executes the tool,cli,cli (standard input),-,-,-,
A37,debthunter,tool,https://github.com/PandaMinore/DebtHunter-Tool,"code comments,issue messages","source code,issues",satd,Identification,No,Yes,Examples,,Yes,Open Source,self-admitted td items,csv,Java,S151,new classification models can be trained,Both,executes the tool,cli,cli (standard input),-,-,-,
A38,derec-gea,script,https://github.com/teomaik/DeRec-GEA,source code,source code,Architectural TD,"Repayment,Identification",No,Yes,Examples,,No,Open Source,refactoring suggestions,csv,"Java,C/C++",S101,identify violations in the system's modularity,Both,executes the tool,cli,cli (standard input),-,-,-,
A39,designite,plugin,http://www.designite-tools.com,source code,source code,"Architectural TD,Design TD,Code TD",Identification,No,No,Industrial Studies,S26,Yes,Free,"architectural smells,design smells,code metrics","csv,xml,excel","Java,C#","S26,S64,S106,S107,S124,S142,S149,S160,S162,S169,S205",plugin for visual studio and intellij,Human Trigger,executes the tool,gui,gui (plugin for ide),gui (plugin for ide),development tool,it can be installed in a IDE,
A40,designite,tool,http://www.designite-tools.com,source code,source code,"Architectural TD,Design TD,Code TD",Identification,Yes,Yes,Industrial Studies,S26,Yes,Free,"architectural smells,design smells,code metrics","csv,xml,excel","Java,C#","S26,S64,S106,S107,S124,S142,S149,S160,S162,S169,S205",,Both,executes the tool,multiple,"api
cli (standard input)",api,"artifact
development tool",can connect with other artifacts,"td type
td activity"
A41,dude,plugin,https://wettel.github.io/dude.html,source code,source code,Code TD,Identification,No,No,Examples,,No,Free,code duplications,text,-,S213,,Human Trigger,executes the tool,gui,gui,-,-,-,
A42,dude,tool,https://wettel.github.io/dude.html,source code,source code,Code TD,Identification,Yes,Yes,Examples,,Yes,Free,code duplications,text,-,S213,,Both,executes the tool,cli,cli (standard input),cli (standard input),"artifact
development tool",it is integrated using glue code,"td type
td activity"
A43,dv8,tool,https://archdia.com/,source code,source code,"Architectural TD,Design TD","Measurement,Identification",No,Yes,Industrial Studies,S54,Yes,"free,student,commercial","architectural smells,amount of technical debt,design smells,dependencies","json,csv",Java,"S54,S73,S107,S113,S149,S150,S162","runs with github,it is also considered a tools suite,evidence of integration with depends",Both,executes the tool,multiple,"cli (standard input)
gui",gui,artifact,integrated with other artifacts,
A44,emf refactor,plugin,https://www.eclipse.org/emf-refactor/,metamodel,"xml,uml",Design TD,"Repayment,Identification",No,No,Examples,,Yes,Free,"design smells,design metrics,refactoring suggestions","xml,source code","specification languages (e.g.,java,ocl,uml)","S39,S102,S133",,Human Trigger,executes the tool,gui,gui (plugin for ide),gui (plugin for ide),development tool,integrates with eclipse,
A45,eslint,tool,https://eslint.org,source code,source code,Code TD,Identification,No,Yes,Examples,,No,Open Source,code violations,source code level via api,Javascript,S122,it can be integrated in the ci,Both,executes the tool,cli,cli (standard input),-,-,-,
A46,exa2pro,plugin,https://github.com/nikosnikolaidis/Exa2Pro-Plugin,source code,source code,Design TD,"Prevention,Prioritization,Measurement,Identification",No,No,Examples,,Yes,Open Source,"design smells,amount of technical debt,amount of interest",csv,"C/C++,fortran",S143,plugin for eclipse ide,Human Trigger,executes the tool,gui,gui (plugin for ide),gui (plugin for ide),development tool,plugin for eclipse,
A47,exa2pro,tool,https://github.com/nikosnikolaidis/Exa2Pro-Plugin,source code,source code,Design TD,"Prevention,Prioritization,Measurement,Identification",No,No,Examples,,Yes,Open Source,"design smells,amount of technical debt,amount of interest",csv,"C/C++,fortran",S143,it is focused in scientific software systems,Human Trigger,executes the tool,gui,gui,-,-,-,
A48,findbugs,plugin,http://findbugs.sourceforge.net/,source code,source code,Code TD,Identification,No,No,Industrial Applications,"S14,S21",Yes,Open Source,"code violations,code metrics",text,Java,"S8,S14,S15,S21,S29,S33,S79,S122,S135,S171,S192",plugin for eclipse ide,Human Trigger,executes the tool,gui,gui (plugin for ide),gui (plugin for ide),development tool,installed and ran inside eclipse,
A49,findbugs,tool,http://findbugs.sourceforge.net/,source code,source code,Code TD,Identification,Yes,Yes,Industrial Applications,"S14,S21",Yes,Open Source,"code violations,code metrics",xml,Java,"S8,S14,S15,S21,S29,S33,S79,S122,S135,S171,S192",,Both,executes the tool,cli,cli (standard input),cli (standard input),artifact,integrated with visminnerTD,"td type
td activity"
A50,fixme-bot,bot,https://www.fixmebot.app/,code comments,source code,satd,"Monitoring,Identification,Representation/Documentation,Communication",Yes,Yes,Examples,,No,Free,self-admitted td items,"pull requests,comment,pull request report",it uses github repositories,S146,runs with github,Automated Trigger,it is executed after each commit,api,api (plugin for github),api (plugin for github),repository,integrates with github,
A51,gendarme,tool,https://www.mono-project.com/docs/tools+libraries/tools/gendarme/,source code,source code,Design TD,Identification,No,Yes,Examples,,Yes,Open Source,code smells,text,C#,S185,,Both,executes the tool,cli,cli (standard input),-,-,-,
A52,gssi/edelta_bad_smells,plugin,https://github.com/gssi/Edelta_bad_smells/,source code,source code,Design TD,Identification,No,No,Examples,,Yes,Open Source,"code smells,refactoring suggestions",text,Java,S199,,Human Trigger,executes the tool,gui,gui (plugin for ide),gui (plugin for ide),development tool,it is a library that is called inside eclipse by glue code,
A53,javancss,script,https://github.com/nokia/javancss,source code,source code,Code TD,Identification,No,Yes,Examples,,No,Open Source,"code metrics,cyclomatic complexity",xml,Java,S13,,Both,executes the tool,cli,cli (standard input),-,-,-,
A54,jcodeodor,tool,https://essere.disco.unimib.it/jcodeodor/,source code,source code,Code TD,Identification,No,Yes,Examples,,Yes,Open Source,code violations,text,Java,"S186,S204",,Both,executes the tool,cli,cli (standard input),-,-,-,
A55,jdeodorant,plugin,"https://github.com/tsantalis/JDeodorant
https://users.encs.concordia.ca/~nikolaos/jdeodorant/",source code,source code,Design TD,Identification,No,No,Academic Studies,S170,No,Open Source,"code smells,refactoring suggestions",integrates with ide,Java,"S155,S170,S196,S198",plugin for eclipse,Human Trigger,executes the tool,gui,gui (plugin for ide),-,-,-,
A56,jdepend,tool,https://github.com/clarkware/jdepend,source code,source code,Design TD,Identification,No,Yes,Examples,,No,Open Source,design metrics,"xml,text",Java,S13,library for java,Both,executes the tool,multiple,"api
gui
cli (standard input)",-,-,-,
A57,jitterbug,script,https://github.com/ai-se/Jitterbug,code comments,source code,satd,Identification,No,Yes,Examples,,No,Open Source,self-admitted td items,csv,Not Specified,S173,"runs in a specific context,because it depends on a pre-processed dataset",Both,executes the tool,cli,cli (standard input),-,-,-,
A58,jspirit,plugin,https://sites.google.com/site/santiagoavidal/projects/jspirit,source code,source code,Design TD,"Prioritization,Identification",No,No,Academic Studies,,No,Open Source,"code smells,refactoring suggestions",inside eclipse,Java,"S20,S25,S133,S155",plugin for eclipse,Human Trigger,executes the tool,gui,gui (plugin for ide),-,-,-,
A59,kaleidoscope,tool,http://kaleidoscopetool.org/,source code,source code,"Design TD,Code TD",Identification,No,No,Examples,,Yes,needs a login,"code smells,design smells",not informed,Java,S37,,Human Trigger,executes the tool,gui,gui,-,-,-,
A60,kiuwan,tool,https://www.kiuwan.com/,source code,source code,Code TD,Identification,No,Yes,Examples,,Yes,Commercial,code metrics,json,+30,"S113,S132",its a commercial tool and few documentation was available,Both,executes the tool,multiple,"api (integrates with ci)
gui",-,-,-,
A61,kiuwan,plugin,https://www.kiuwan.com/,source code,source code,Code TD,Identification,No,No,Industrial Studies,S132,Yes,Commercial,code metrics,json,+30,"S113,S132",plugin for several platforms,Human Trigger,executes the tool,gui,gui (plugin for ide),-,-,-,
A62,klocwork,plugin,http://www.klocwork.com,source code,source code,"Design TD,Code TD",Identification,No,No,Industrial Studies,S10,Yes,Commercial,"code smells,code metrics","json,pdf,xml","Java,Python,Javascript,C/C++,C#",S10,plugins for several platforms,Human Trigger,executes the tool,gui,gui (plugin for ide),-,-,-,
A63,klocwork,tool,http://www.klocwork.com,source code,source code,"Design TD,Code TD",Identification,No,Yes,Industrial Studies,S10,Yes,Commercial,"code smells,code metrics","json,pdf,xml","Java,Python,Javascript,C/C++,C#",S10,ready for ci,Both,executes the tool,multiple,"api
cli (standard input)",-,-,-,
A64,lattix,tool,https://www.lattix.com/,source code,source code,Architectural TD,Identification,No,Yes,Industrial Studies,S56,Yes,Commercial,architectural smells,json,Not Specified,"S56,S107,S119,S156,S195",ready for ci,Both,executes the tool,multiple,"api (integrates with ci)
gui",-,-,-,
A65,NAIST-SE/SATDinBuildSystems,script,https://github.com/NAIST-SE/SATDinBuildSystems,code comments,source code,satd,Identification,No,Yes,Examples,,No,Open Source,self-admitted td items,"json,csv",-,S208,,Both,executes the tool,cli,cli (standard input),-,-,-,
A66,ndepend,tool,https://www.ndepend.com/,source code,source code,"Architectural TD,Design TD,Code TD,Test TD","Measurement,Identification",No,Yes,Academic Studies,S113,Yes,Commercial,"code violations,code smells,architectural smells,amount of technical debt,test coverage",html,C#,"S113,S132,S135,S150,S157,S195",,Both,executes the tool,multiple,"api (integrates with ci)
gui",-,-,-,
A67,organic,plugin,https://github.com/opus-research/organic,source code,source code,Design TD,Identification,No,No,Examples,,No,Open Source,code smells,json,Java,S213,,Human Trigger,executes the tool,gui,gui (plugin for ide),gui (plugin for ide),development tool,plugin for eclipse,
A68,pclint,plugin,https://pclintplus.com/,source code,source code,Code TD,Identification,No,No,Industrial Studies,S21,Yes,Commercial,"code violations,code metrics",text,C/C++,"S21,S29",plugin for visual studio,Human Trigger,executes the tool,gui,gui (plugin for ide),-,-,-,
A69,pclint,plugin,https://pclintplus.com/,source code,source code,Code TD,Identification,No,No,Industrial Studies,S21,Yes,Commercial,"code violations,code metrics",text,C/C++,"S21,S29",,Human Trigger,executes the tool,gui,gui (plugin for ide),-,-,-,
A70,pclint,tool,https://pclintplus.com/,source code,source code,Code TD,Identification,No,Yes,Industrial Studies,S21,Yes,Commercial,"code violations,code metrics",text,C/C++,"S21,S29",,Both,executes the tool,multiple,"api (integrates with ci)
cli (standard input)
gui",-,-,-,
A71,phpmd,tool,https://phpmd.org/,source code,source code,"Design TD,Code TD",Identification,No,Yes,Examples,,Yes,Open Source,"code smells,code violations","json,xml,html,text,gitlab,github",php,S125,ready for ci,Both,executes the tool,cli,cli (standard input),-,-,-,
A72,piranha,script,https://github.com/uber/piranha,source code,source code,Code TD,Repayment,No,Yes,Industrial Applications,,No,Open Source,refactoring actions,no output,"Java,Javascript,objectiv-c,swift",S104,it works for a very specific type of code td (use of feature flags),Both,executes the tool,cli,cli (standard input),-,-,-,
A73,pmd,tool,"https://pmd.github.io/
http://pmd.sourceforge.net",source code,source code,Code TD,Identification,Yes,Yes,Industrial Applications,S10,Yes,Open Source,code violations,"json,csv,xml,html,sarif,text",Java,"S10,S14,S32,S40,S58,S71,S102,S117,S121,S126,S133,S145,S155,S170,S178,S193,S194,S196,S197",,Both,executes the tool,multiple,"api
cli (standard input)",api,artifact,integrates with visminnertd,"td type
td activity"
A74,ptidej,plugin,"https://www.ptidej.net/
https://bitbucket.org/ptidejteam/ptidej-5/src/master/",source code,source code,Design TD,Identification,No,No,Examples,,Yes,Open Source,code smells,text,Java,"S82,S176,S198",few documentation available,Human Trigger,executes the tool,gui,gui (plugin for ide),-,-,-,
A75,puppeteer,script,https://github.com/tushartushar/Puppeteer,source code,source code,Design TD,Identification,No,Yes,Examples,,No,Open Source,configuration smells,csv,puppet,S31,it refers to configuration smells in the context o puppet,Both,executes the tool,cli,cli (standard input),-,-,-,
A76,pylint,plugin,https://www.pylint.org/,source code,source code,Code TD,Identification,No,No,Industrial Applications,S62,Yes,Open Source,"code metrics,code violations",json,Python,S62,plugins for several platforms,Human Trigger,executes the tool,gui,gui (plugin for ide),-,-,-,
A77,pylint,tool,https://www.pylint.org/,source code,source code,Code TD,Identification,Yes,Yes,Industrial Applications,S62,Yes,Open Source,"code metrics,code violations",json,Python,S62,provides an api,Both,executes the tool,multiple,"cli (standard input)
api (plugin for github)",api (plugin for github),repository,integrated with github,
A78,quyang-hub/GNN-and-Imbalance-for-TD-model,script,https://github.com/quyang-hub/GNN-and-Imbalance-for-TD-model,code comments,json,satd,Identification,No,Yes,Examples,,No,Open Source,self-admitted td items,"json,csv",-,S211,,Both,executes the tool,cli,cli (standard input),-,-,-,
A79,radon,plugin,https://radon.readthedocs.io/en/latest/index.html,source code,source code,Code TD,Identification,No,No,Academic Studies,S92,No,Open Source,"code violations,maintainability index","json,xml",Python,S92,plugin for flake8,Human Trigger,executes the tool,gui,gui (plugin for ide),-,-,-,
A80,radon,tool,https://radon.readthedocs.io/en/latest/index.html,source code,source code,Code TD,Identification,No,Yes,Academic Studies,S92,Yes,Open Source,"code violations,maintainability index","json,xml",Python,S92,,Both,executes the tool,cli,cli (standard input),-,-,-,
A81,radon,tool,https://radon.readthedocs.io/en/latest/index.html,source code,source code,Code TD,Identification,No,Yes,Academic Studies,S92,Yes,Open Source,"code violations,maintainability index","json,xml",Python,S92,plugin for flake8,Both,executes the tool,cli,cli (standard input),-,-,-,
A82,refactoring-bot,tool,https://github.com/Refactoring-Bot/Refactoring-Bot,source code,source code,"Design TD,Code TD",Repayment,Yes,Yes,Examples,,No,Open Source,refactoring suggestions,pull requests,Java,S76,"the bot analyzes the source code and refactor it. after,pull requests are generated to revision",Automated Trigger,"after each commint
executes the tools (when ran locally)",api,api,api,repository,"generates pull requests to propose the refactorings
can be queried by through a api (when ran locally)",
A83,refactoring-bot,bot,https://github.com/Refactoring-Bot/Refactoring-Bot,source code,source code,"Design TD,Code TD",Repayment,Yes,Yes,Examples,,No,Open Source,refactoring suggestions,pull requests,Java,S76,"the bot analyzes the source code and refactor it. after,pull requests are generated to revision",Automated Trigger,"after each commint
executes the tools (when ran locally)",api,api (plugin for github),api (plugin for github),repository,"generates pull requests to propose the refactorings
can be queried by through a api (when ran locally)",
A84,resharper,plugin,https://www.jetbrains.com/resharper/,source code,source code,Code TD,Identification,No,No,Examples,,No,Commercial,"code violations,refactoring suggestions","xml,html,text",C#,S8,"it is a plugin with several tools integrated,ready for ci",Human Trigger,executes the tool,gui,gui (plugin for ide),-,-,-,
A85,resharper,plugin,https://www.jetbrains.com/resharper/,source code,source code,Code TD,Identification,No,Yes,Examples,,No,Commercial,"code violations,refactoring suggestions","xml,html,text",C#,S8,"it is a plugin with several tools integrated,ready for ci",Automated Trigger,executes the tool,api,api (integrates with ci),-,-,-,
A86,resource standard metrics,tool,https://www.msquaredtechnologies.com/,source code,source code,"Design TD,Code TD",Identification,No,Yes,Examples,,Yes,Free,"code smells,code violations","csv,xml,html","Java,C/C++,C#",S1,"runs with shell,can be integrated with several ide",Both,executes the tool,multiple,"gui (plugin for ide)
cli (standard input)",-,-,-,
A87,satd-bailiff,script,https://github.com/smilevo/SATDBailiff,code comments,csv,"Design TD,satd",Identification,No,Yes,Examples,,No,Open Source,self-admitted td items,"csv,database (sql)",Not Specified,S140,"it uses github to run,a list of projects must to be provided in an csv file",Both,executes the tool,cli,cli (standard input),-,-,-,
A88,satd-detector,script,https://github.com/Tbabm/SATDDetector-Core,code comments,source code,satd,Identification,No,Yes,Examples,,No,Open Source,self-admitted td items,text,Not Specified,"S47,S171",,Both,executes the tool,multiple,"api
cli (standard input)",-,-,-,
A89,satd-detector,script,https://github.com/Tbabm/SATDDetector-Core,code comments,source code,satd,Identification,Yes,Yes,Examples,,No,Open Source,self-admitted td items,text,Not Specified,"S47,S171",,Both,executes the tool,cli,cli (standard input),cli (standard input),development tool,it is a eclipse plugin,
A90,sdk4ed,tool,"https://sdk4ed.eu
https://gitlab.seis.iti.gr/sdk4ed-wiki",source code,source code,"Design TD,Code TD","Monitoring,Measurement,Identification",No,Yes,Academic Studies,S175,Yes,Open Source,"design smells,amount of technical debt","json,html,database (sql)","Java,C/C++","S173,S175","tool suite,also classified as platform",Both,executes the tool,multiple,"cli (standard input)
gui",-,-,-,
A91,sen4smells,script,https://github.com/tommantonela/Sen4Smells,source code,source code,Architectural TD,"Prioritization,Measurement,Identification",Yes,Yes,Examples,,No,Open Source,"architectural smells,amount of technical debt",csv,Java,S96,integrated with arcan,Both,executes the tool,cli,cli (standard input),cli (standard input),artifact,integrated with arcan and sonargraph,td activity
A92,shell-check,plugin,https://github.com/koalaman/shellcheck,source code,source code,Code TD,Identification,No,Yes,Examples,,No,Open Source,code violations,text,shell script,S163,"ready for ci,plugin for several platforms",Both,executes the tool,cli,cli (standard input),-,-,-,
A93,shell-check,plugin,https://github.com/koalaman/shellcheck,source code,source code,Code TD,Identification,No,No,Examples,,No,Open Source,code violations,text,shell script,S163,"ready for ci,plugin for several platforms",Human Trigger,executes the tool,gui,"gui (plugin for ide)
",-,-,-,
A94,sigrid,tool,https://www.softwareimprovementgroup.com/solutions/sigrid-software-assurance-platform/,source code,source code,"Code TD,security","Measurement,Identification",No,Yes,Examples,,-,-,"code metrics,amount of technical debt,security issues",text,Not Specified,S135,ready for ci,Both,excutes the tool,multiple,"cli (standard input)
gui",-,-,-,
